"SALESORDERID","CREATEDBY","CREATEDAT","CHANGEDBY","CHANGEDAT","FISCVARIANT","FISCALYEARPERIOD","NOTEID","PARTNERID","SALESORG","CURRENCY","GROSSAMOUNT","NETAMOUNT","TAXAMOUNT","LIFECYCLESTATUS","BILLINGSTATUS","DELIVERYSTATUS"
"0050008500","0000000003",2018-12-22,"0000000003",2018-12-24,K4,"2018012","","100000039",EMEA,USD,84342.36,74971.00,9371.36,"","",C
"0050008528","0000000019",2018-12-30,"0000000019",2018-12-31,K4,"2018012","","100000008",EMEA,USD,96478.85,85759.00,10719.85,"","",C
"0050008546","0000000019",2019-01-06,"0000000019",2019-01-09,K4,"2019001","","100000039",EMEA,USD,48344.59,42973.00,5371.59,"","",C
"0050008607","0000000019",2019-01-19,"0000000019",2019-01-20,K4,"2019001","","100000006",EMEA,USD,91390.47,81236.00,10154.47,"","",C
"0050008699","0000000016",2019-02-26,"0000000016",2019-02-27,K4,"2019002","","100000039",EMEA,USD,103867.85,92327.00,11540.85,"","",C
"0050008716","0000000022",2019-03-01,"0000000022",2019-03-02,K4,"2019003","","100000039",EMEA,USD,83429.97,74160.00,9269.97,"","",C
"0050008735","0000000015",2019-03-11,"0000000015",2019-03-13,K4,"2019003","","100000039",EMEA,USD,73082.23,64962.00,8120.23,"","",C
"0050009493","0000000019",2019-12-09,"0000000019",2019-12-11,K4,"2019012","","100000010",EMEA,USD,86726.23,77090.00,9636.23,"","",C
"0050009495","0000000019",2019-12-09,"0000000019",2019-12-10,K4,"2019012","","100000010",EMEA,USD,83708.98,74408.00,9300.98,"","",C
"0050009514","0000000015",2019-12-14,"0000000015",2019-12-15,K4,"2019012","","100000039",EMEA,USD,69127.84,61447.00,7680.84,"","",C
"0050009881","0000000019",2020-04-12,"0000000019",2020-04-14,K4,"2020004","","100000014",EMEA,USD,112436.98,99944.00,12492.98,"","",C
"0050010263","0000000003",2020-08-15,"0000000003",2020-08-18,K4,"2020008","","100000039",EMEA,USD,92894.61,82573.00,10321.61,"","",C
"0050011155","0000000020",2021-06-13,"0000000020",2021-06-15,K4,"2021006","","100000039",EMEA,USD,119985.71,106654.00,13331.71,"","",C
"0050011297","0000000016",2021-07-31,"0000000016",2021-08-02,K4,"2021007","","100000039",EMEA,USD,90829.10,80737.00,10092.10,"","",C
